Nr fali;Rodzaj Fali;LP I;liczba pomocnicza II;Pokemon 1;Pokemon 2;Pokemon 3;Pokemon 4;Pokemon 5;Pokemon 6;Pokemon 7;Pokemon 8;Pokemon 9;;;New;Last;Need
1;Rat;5;1;Minccino;Cyndaquil;Sandshrew;Marill;Drilbur;Pikachu;Rattata;;;;;;;
2;Ox;6;2;Phanpy;Numel;Shieldon;Hippopotas;;;;;;;;;;
3;Tiger;7;3;Shinx;Skitty;Glameow;Elekid;Meowth;;;;;;;;;
4;Rabbit;8;4;Eevee;Jigglypuff;Nidoran ?;Spinda;Buneary;Nidoran ?;Whismur;;;;;;;
5;Dragon;9;5;Charmander;Dratini;Axew;Bagon;Treecko;Gible;Deino;;;;;;;
6;Snake;10;6;Ekans;Snivy;;;;;;;;;;;;
7;Boss; ;;;;;;;;;;;;;;;
8;Horse;11;1;Deerling;Ponyta;Horsea;Blitzle;;;;;;;;;;
9;Goat;12;2;Mareep;Aron;Cottonee;Rhyhorn;;;;;;;;;;
10;Monkey;1;3;Pansear;Darumaka;Meditite;Slakoth;Aipom;Panpour;Pansage;Chimchar;;;;;;
11;Rooster;2;4;Torchic;Murkrow;Pidgey;Rufflet;Piplup;Doduo;Starly;Spearow;;;;;;
12;Dog;3;5;Riolu;Smeargle;Vulpix;Poochyena;Lilipup;Houndour;Electrike;Growlithe;Snubbull;;;;;
13;Pig;4;6;Spoink;Munna;Tepig;Mankey;Swinub;Slowpoke;;;;;;;;
14;Boss;MEDIUM;;;;;;;;;;;;;;;
15;Rat;5;;Emolga;Quilava;Raichu;Raticate;;;;;;;;;;
16;Ox;6;;Miltank;Bastiodon;Hippopotas;Camerupt;;;;;;;;;;
17;Tiger;7;;Luxio;Delcatty;Zangoose;Liepard;Purugly;Persian;;;;;;;;
18;Rabbit;8;;Audino;Nidorina;Spinda;Minun;Plusle;Lopunny;Wigglytuff;Nidorino;Azumarill;;;;;
19;Dragon;9;;Fraxure;Dragonair;Charmeleon;Gabite;Shelgon;Grovyle;Zweilous;;;;;;;
20;Snake;10;;Servine;Seviper;Dunsparce;Onix;;;;;;;;;;
21;Boss; ;;;;;;;;;;;;;;;
22;Horse;11;;Sawsbuck;Seadra;Girafarig;Stantler;;;;;;;;;;
23;Goat;12;;Whimsicott;Flaaffy;Lairon;Rhydon;Absol;;;;;;;;;
24;Monkey;1;;Vigoroth;Monferno;Simipour;Simisage;Simisear;Aipom;;;;;;;;
25;Rooster;2;;Pidgeotto;Fearow;Archen;Prinplup;Staravia;Combusken;Murkrow;;;;;;;
26;Dog;3;;Ninetales;Houndoom;Mightyena;Herdier;;;;;;;;;;
27;Pig;4;;Grumpig;Primeape;Piloswine;Pignite;;;;;;;;;;
28;Rat;5;;;;;;;;;;;;;;;
29;Ox;6;;;;;;;;;;;;;;;
30;Tiger;7;;;;;;;;;;;;;;;
31;Rabbit;8;;;;;;;;;;;;;;;
32;Dragon;9;;;;;;;;;;;;;;;
33;Snake;10;;;;;;;;;;;;;;;
